date, pm25, pm10, o3, no2, so2, co
2019/4/19, 51, 48, 30, 10, 3, 6
2019/4/20, 66, 56, 35, 10, 5, 7
2019/4/21, 86, 38, 26, 8, 4, 5
2019/4/22, 55, 42, 27, 10, 5, 6
2019/4/23, 61, 51, 28, 10, 5, 7
2019/4/24, 74, 49, 20, 12, 4, 6
2019/4/25, 69, 43, 42, 13, 6, 9
2019/4/26, 67, 55, 37, 11, 5, 9
2019/4/27, 84, 50, 34, 9, 5, 6
2019/4/28, 79, 45, 33, 10, 5, 7
2019/4/29, 79, 58, 36, 11, 4, 9
2019/4/30, 91, 58, 37, 12, 5, 7
2019/5/1, 96, 34, 15, 14, 5, 3
2019/5/2, 56, 41, 32, 8, 3, 6
2019/5/3, 56, 30, 24, 7, 4, 4
2019/5/4, 46, 42, 25, 10, 4, 7
2019/5/5, 59, 49, 24, 10, 5, 8
2019/5/6, 71, 40, 34, 8, 3, 5
2019/5/7, 60, 38, 31, 10, 4, 5
2019/5/8, 63, 42, 27, 6, 5, 3
2019/5/9, 49, 59, 30, 14, 6, 11
2019/5/10, 96, 47, 30, 10, 7, 9
2019/5/11, 92, 39, 24, 10, 5, 7
2019/5/12, 61, 32, 21, 6, 2, 5
2019/5/13, 71, 49, 23, 8, 5, 6
2019/5/14, 94, 46, 23, 10, 6, 8
2019/5/15, 73, 50, 31, 10, 5, 8
2019/5/16, 94, 57, 32, 9, 6, 9
2019/5/17, 102, 51, 28, 8, 5, 6
2019/5/18, 86, 41, 25, 7, 6, 6
2019/5/19, 72, 32, 29, 8, 5, 6
2019/5/20, 58, 45, 29, 10, 5, 6
2019/5/21, 71, 29, 28, 6, 3, 5
2019/5/22, 54, 41, 29, 8, 6, 6
2019/5/23, 64, 49, 33, 10, 5, 7
2019/5/24, 84, 55, 41, 11, 5, 10
2019/5/25, 87, 57, 48, 8, 7, 7
2019/5/26, 91, 41, 38, 5, 4, 7
2019/5/27, 116, 43, 34, 5, 3, 7
2019/5/28, 117, 40, 36, 6, 4, 3
2019/6/1, 131, 80, 27, 8, 4, 9
2019/6/2, 57, 37, 48, 8, 4, 4
2019/6/3, 100, 35, 47, 10, 3, 4
2019/6/4, 69, 29, 46, 8, 5, 5
2019/6/5, 63, 39, 35, 8, 5, 4
2019/6/6, 82, 31, 58, 8, 4, 3
2019/6/7, 74, 45, 52, 9, 5, 5
2019/6/8, 77, 45, 59, 8, 5, 5
